,F1: Superficial,F2/3: Stroma_PPARG+,F2: Universal,F3: FRC-like,F4: DP_HHIP+,F4: DS_DPEP1+,F4: TNN+COCH+,F5: NGFR+,F5: RAMP1+,F6: Inflammatory myofibroblast,F6: Myofibroblast,F7: Fascia-like myofibroblast,F_Fascia
28776,RASSF7,LINC01415,STK26,TRIL,GPRC5D-AS1,SSUH2,MATN3,CCDC122,DDX41,AL157832.2,THAP3,TMEM91,AC010255.2
28777,SERPINB9,C1orf112,NCOR1,GSPT1,AC004528.2,CCDC195,LINC01819,SEC22B,MYO1A,LINC01546,EBNA1BP2,BRD9,AC005606.2
28778,IFNAR2,HEATR5B,TAB2,ACO2,MACC1-AS1,CREB3,DUXA,MAP1LC3C,PBX1,OR6C4,PRRG4,THSD7A,JMJD6
28779,PTPN1,FAM20A,AC069228.1,PDE1A,CHMP4C,AL157834.1,RGS3,MFSD3,PMVK,SAGE1,BSCL2,PRR4,AL008718.2
28780,TUBB4A,SLC39A9,NONO,PSMD13,AC016396.1,AC091563.1,RSPO1,BVES,AL365318.1,BACE2-IT1,NUB1,KHSRP,LINC00566
28781,ZSCAN18,EMX2,PSMB4,NEAT1,AL513523.3,KCNU1,PHB2,NMRAL1,AC137590.2,LINC01293,MRPS2,MTHFD2L,AC130415.1
28782,PPEF1,IBTK,DNAJC3,SRP72,DMRT2,SEMA3B-AS1,ADCY10,AC025271.4,HDGFL3,AC017015.2,AC108673.3,MATN1-AS1,AC023469.2
28783,AC079328.2,AL049830.3,FBXO44,KIF9-AS1,FKBP11,FOCAD,MRPL17,AP002784.1,ZNF704,BOC,MOCS1,PILRB,NIPAL2
28784,MARK4,RPS6KC1,SLC29A4,PI4KB,AC062015.1,GDF5,CALHM2,AC120036.4,SRD5A3,PCSK2,RBBP5,ZNF37A,AL450322.2
28785,INSL6,WDR70,RBM28,AKTIP,LSM3,CALB2,ENTPD7,LYPLA1,AC099786.1,PLEKHA4,PPIG,MINCR,GIMAP2
28786,CLEC1B,KIAA1549,BAZ1B,MFSD14B,AC022733.1,AC079070.1,TTC39C,TMEM59,PPP4R2,OR2C3,LINC01142,MAGED2,ST3GAL1
28787,KTN1,OTOGL,SEMA4C,OCA2,SRA1,ADIPOR1,AIF1L,MRPL15,KCNJ4,IFNL1,PCDH8,KRTAP13-4,CASC20
28788,B3GAT2,DECR1,EIF4A1,AL135936.1,Z97205.2,OTUD7B,AC003098.1,AC007271.1,PSENEN,COBLL1,FAM221A,MTRNR2L3,PCDHGB3
28789,ELOVL2,GMFG,RCOR1,GSN,CYS1,C1orf115,LINC01010,USP48,JPT2,AC012055.1,ZNF667-AS1,MYMX,TRIM25
28790,EED,PRKACB,EFR3A,LINC00366,AC011498.6,B4GALNT1,CCR3,AC245052.4,HMGCS1,AC008393.1,KBTBD8,AMOTL1,ARHGEF3
28791,USP53,ATP5PB,KPNA6,WDR49,AC015660.2,MOGAT1,MRPS35,AL023581.2,RALBP1,DHX33,TMEM233,WDR17,NELL2
28792,AC103982.1,ANP32A,DMPK,COMMD7,UQCC2,TEX30,AL049649.1,ZNF436,AL627171.2,SFTPD,SMCHD1,MPST,FLRT3
28793,RIMKLB,MTRNR2L1,SYMPK,CACYBP,KIF19,RAB7B,TIMM50,HLA-G,UCN2,AL135746.1,CDC14A,GCK,UCMA
28794,HYDIN,SH3GLB1,DUS1L,MED4,AC104574.2,IL1RAP,CYP2B6,CRIP2,SYPL1,LINC00092,RPL7A,RORB-AS1,AC026585.1
28795,AC010343.3,PTPRF,B3GNT9,TUBB2A,LINC01538,CEND1,EIF3F,LSMEM1,LINC01747,LINC01126,ITGA1,RBM10,AL162632.3
28796,KRT12,LINC02242,HRH1,HAGLR,LINC00987,OVCA2,SDF2L1,VIM,CCDC149,AC087623.3,SEMA4D,C5orf24,C1RL-AS1
28797,NT5DC3,WDR86,ZNF131,GNB1L,PAX2,AC006441.4,ARL5B,USP18,SLAMF6,MSLN,RPRM,GPCPD1,AL357833.1
28798,SRL,PAFAH1B3,MED27,CEP350,RPS19BP1,GMDS-DT,AL158175.1,EIF3B,AEN,GRK1,EFHC1,GBP5,FCGR3A
28799,RNF144B,SMIM20,DNPH1,TM2D2,RPS6KA3,FZD3,LAMTOR4,TENT4B,AP001043.1,AC025048.1,BCKDHA,NEK11,AC005324.5
28800,NKAIN1,FBXO10,IL18BP,EMSY,LINC00377,AP3B2,AP000695.2,MOB1A,CERS2,DNAI1,TNNC2,RN7SL832P,WNT1
28801,LINC02274,CFHR1,DERL3,CAMK2N1,GLT8D1,GDF7,COX7C,PLPPR2,MEIS2,KRT36,LINC02587,AL606970.4,PURB
28802,U91319.1,AL078459.1,IL1R2,LINC01807,PLEKHA7,LINC01277,IDI1,NRAS,LINC01254,IGLV7-46,NUP153,ATAD2,LINC02188
28803,CNBD1,POP5,TNFAIP8L1,MXRA7,MC4R,LINC01004,MCFD2,COG6,ALKAL2,CHRNA4,LGR6,BST1,AC002464.1
28804,MYH1,SCRN1,LINC01290,LINC01443,YAP1,SGCB,MLLT1,EEF1AKMT1,STAM,AC005546.1,C1QTNF5,TMEM233,MERTK
28805,CAMK2N2,FAM167A,MAGOHB,BRIP1,AP003025.1,TNNC2,GABARAP,SYNCRIP,AC006547.3,TEX26-AS1,ZNF660,TMC6,AC090398.1
28806,SFRP1,CDH19,RAP1GDS1,S100A6,COX16,MGAT1,AGAP3,AC012531.1,ARSE,LRAT,CDADC1,SORBS3,EVA1B
28807,ANKRD20A4,PDCD10,LATS1,NFIX,AL121902.1,TMEM50A,AC111152.2,GLUD1,ADAMTSL4,CERNA3,AC243772.2,AL161729.1,AC004490.1
28808,AC009264.1,MXD3,UBE2V2,PWWP2B,PCNX2,AC011444.1,CCDC127,AC010226.1,MYD88,AC084876.1,RPA4,VAMP1,GRHL1
28809,MRTO4,AC073332.1,BTN3A1,NCAPH2,IFNGR2,FUT11,LINC02325,PKN1,XIAP-AS1,AL049749.1,AL135925.1,C12orf49,PSG8-AS1
28810,ZNF609,MZT1,ITGB1-DT,AP001439.1,AC009486.1,CFL1,AL441992.1,SSBP4,AL139351.1,EMILIN3,TAF3,FAM200B,C4A
28811,ABHD14A,SNX4,POM121C,AC138123.1,MAPT,AC007991.3,AL078581.3,PLEKHA5,TMEM92-AS1,AL358473.2,RASL11B,CALCOCO1,PRKCE
28812,FUT2,AL135936.1,CASC4,AC025043.1,RNF139,KIAA0513,PHLDB1,BIRC3,FAM49B,LINC02142,TOGARAM2,LYSMD2,TMEM255A
28813,EIF4E,MARCH8,SLC20A2,GTF2H5,CYP2C8,AC110296.1,AL157702.2,PEBP1,ZNF33B,ASIC2,MTF2,WNT6,TMEM121B
28814,AMZ1,ARVCF,PRICKLE2,HORMAD1,ZDHHC2,TTC9,FGF18,DEXI,TMEM72,LINC00645,AC002456.1,TEPP,GPC5-AS2
28815,THAP9-AS1,ACOT11,SPRED2,KDELR1,C15orf61,MOCS2,LINC02539,AC010969.1,AMDHD2,AC098820.3,NKAPD1,GSTM1,GJA4
28816,AC093525.4,AL353768.1,DTNB,OAZ1,GRAP,HSD17B11,LINC00459,ADAMTS3,CCNG1,AL139280.1,KDSR,SLC35E2A,IMPAD1
28817,DLGAP2,VWA5A,DDX11,TNKS,MYL1,AC147651.1,TIMM17A,AQP9,LINC02308,AC016831.1,RNF11,BIRC2,ICOSLG
28818,TYR,RNF121,PPFIA3,HMGB2,HAMP,SLC16A14,SALL4,CDK8,AC108861.1,GOLGA6L2,AADACL2,LGR6,MSANTD3
28819,ZSCAN2,C11orf80,ZNF516,SLC3A2,AC093732.1,AC006270.1,WIZ,FDX1,DCC,RNU6ATAC35P,ACOX2,STARD7,IL18BP
28820,TAX1BP3,C2,KAT2A,R3HCC1,SEC13,LINC01120,TMEM120A,PLS3,C5orf38,AC006207.1,CATSPERZ,EMILIN2,AC232271.1
28821,AC090617.5,PDE4DIP,EXTL2,CDK15,AC137761.1,LRRC32,LPIN2,DCAF5,VPS51,CDRT15,BCL7B,ST8SIA1,RCOR1
28822,AC104248.1,CLEC16A,USP7,CLEC20A,IQCJ-SCHIP1,MRPS12,SLC19A3,TNFSF9,AP003355.2,AC005899.7,PIAS1,MFSD4B,PCDHGB4
28823,ATG7,FIG4,KRT2,IBSP,TRPV2,AC007376.2,RPS16,ATE1,AC022081.1,MAN2B2,GHR,FAM189A2,AC097512.1
28824,AP001172.1,NSL1,OLFML2A,CDKN2D,AP000424.1,CBLB,SGK1,KDM2A,AL139220.2,TMC3,RPS6KL1,HFM1,PCDH9
28825,SNRPG,ELP6,ZNF618,NUP153,AC013451.2,RIMS2,AC099342.1,TUBB,FLT3LG,CRYGA,FBXO33,ISG20L2,S100A7
28826,STX19,AC010255.1,ERLEC1,LEO1,APOBR,TLR1,PAICS,AC106738.2,AL161909.2,GRM7,NAB1,MICALL2,CSN1S1
28827,KIAA2012,KLF14,CALM2,TBL1X,TEX264,PMVK,ARMC2-AS1,CHCHD5,ARL2BP,AC002428.1,HLX-AS1,SHISA3,WIPF3
28828,AC027449.1,AL691420.1,CARNMT1,EIF4EBP1,AL049629.1,ZNF236-DT,AP003419.2,TUFM,ASXL3,AC013356.2,ZNF302,AL049812.2,LINC01396
28829,NFIA,SNAP91,PSMC6,TRIP4,LINC01448,SYPL2,C2orf78,ASS1,PSMA4,NEUROD1,SUMO1,TMEM168,CTBP2
28830,SH2D3A,CDKN2AIPNL,FAM161A,OSBP,VDAC3,AC017074.1,RTL8C,TAF13,AC097375.1,AC103719.1,RBM11,KRT5,POLE3
28831,AL359715.1,DR1,DLEU7,ATAD3A,AC092574.1,AL137186.1,EIF5A,TOP1MT,LINC01987,SELENOK,PSMA3,BLOC1S5,AC100791.3
28832,ADGRB2,LINC02303,AC002463.1,WHRN,TSPAN15,PLEKHG4B,AC010175.1,TUSC3,ARSA,EIF5,TFEB,Z97989.1,EIF3A
28833,ABL2,IL18BP,RGS12,SPPL2B,FGF17,SLC2A6,LINC00314,U52111.1,Z82188.2,AC131097.2,HOXB8,CNTRL,AC068831.4
28834,LINC01891,SMURF2,SNTG2,PHTF1,FGF20,WHRN,POPDC2,ARID1B,CSNK1A1L,AC025428.1,AC124016.2,RSL24D1,AC116348.3
28835,LINC00639,AC135895.1,SFXN5,GSTO1,TMEM109,SERPINB8,LINC00842,ZNF275,SIGLEC6,TRIOBP,P2RY14,ATXN7L3B,KRTAP5-8
28836,AC090630.1,MCRS1,PLK5,CUTA,AP000722.1,ANKRD9,TTC39B,MTRNR2L3,SP9,CPNE6,TFE3,SPEN,AC061961.1
28837,ZFR2,SH3YL1,SMARCB1,GNG4,RANBP1,LINC01894,DDOST,MORC4,AC017002.1,TSPAN7,HADH,AL645608.7,DCHS2
28838,LAG3,HLA-G,AC073611.1,AL136962.1,ITGA5,UBR4,GTPBP4,PMVK,AC116447.1,AL080316.1,USP2,MMP1,NOB1
28839,AL121894.1,AC138305.1,CCDC91,ZMAT3,GYG1,AC004946.1,ASS1,AC138123.1,PLD3,SPAG8,SMARCA5,LINC02178,LINC02487
28840,MYH14,SLC40A1,ITGA3,MSRB2,NDUFS5,CPNE8,AC005920.3,AC003092.2,SGMS2,LINC01950,ABI2,RADIL,AC243829.4
28841,ELOVL7,BHLHE40,AC114760.2,XACT,AL157834.2,THSD7B,CAPN13,NKIRAS1,CDH24,ASXL1,DPM1,PPIP5K2,DCAF4L2
28842,WASF2,C15orf48,FAM83D,ZRANB1,TRIM74,SIRPB1,CHST3,ARMCX6,C1orf143,AL158042.1,SMIM20,RAPGEF3,AP000697.1
28843,DPP3,GGACT,GPC3,IMPDH1,SMCR2,PLXNB1,POLR2J,MAP3K8,RRAS2,LINC01721,SPOPL,CDC34,ADAM30
28844,MYL9,DCTD,CCDC82,ATG9A,AC019118.2,AL136501.1,AP001574.1,NAV2-AS1,EIF4G1,AP001469.3,AC108463.3,GLIDR,KRTAP5-11
28845,ABTB2,CCDC92,EPOP,Z82188.2,NOTCH2,ITGA8,B4GALT7,MFSD1,PPM1G,SLC1A7,SLC25A21-AS1,KRT14,DDX39B-AS1
28846,LRRC49,MAP2K5,RAB2A,MPRIP,IAPP,IKZF2,LAMP1,ANO2,KRTAP5-9,RPS4Y2,NCAM1,CD7,LY6G6E
28847,DCDC2,CRLS1,FOXJ3,AC114689.3,AC091849.2,AP001107.3,SLC17A7,C19orf12,BECN1,AC103853.1,PDCD4,AC007262.2,SETSIP
28848,AP003721.2,RAP1GDS1,DUSP7,MTX1,AC093909.4,MTUS2,AC138819.1,NPEPPS,AP001574.1,PCDHGA5,LAMC1,GTF2IRD2B,AC004832.6
28849,METRNL,CCDC25,AC005064.1,ENPP3,PSME2,HIVEP2,SERP1,TEX29,CNIH4,AL353608.2,MFF,HDGF,AP001198.1
28850,FCGR1A,TEX29,ALDH1L2,ARHGDIG,AC016994.1,ANKRD2,PDZD11,AC090125.1,ACY3,GCA,EP300,RAP2B,MLEC
28851,ASB14,NBDY,ADNP,TCAIM,RIDA,ADCYAP1R1,AP001972.4,CNPY3,LINC01812,SRSF5,GPRASP2,ADHFE1,AP006545.2
28852,NXN,AC093157.1,TMEM273,CNIH4,HCRT,MAP3K1,LINC01925,CREB3,AL161935.3,AC090970.2,UBXN7,VPS13C,AL139142.1
28853,GJA4,CADPS,RREB1,CPEB1,AC122719.2,MFSD2A,AL606804.1,CRTC3,FAM89A,AF165147.1,SLFN11,SLC35D2,KLF10
28854,AF107885.2,C1orf143,GALNTL6,MORC4,AL136366.1,BSCL2,CLRN1,AL391832.1,METAP2,AL772202.1,SLC22A16,C1orf21,PPP1R2B
28855,EFL1,DTD1,BAHCC1,NUP88,LINC01189,ADRM1,SLMAP,DDR2,ATG12,AL132796.2,SLC35A1,PRDX4,ISM1
28856,AF117829.1,IL1RAPL1,PNPLA3,LSM4,AC006288.1,BMP2,AP001476.3,MMP16,TRAF5,AC064836.3,OARD1,ACCS,TMEM155
28857,SCT,DIRC3,TCERG1,AC006270.1,AC027228.1,SMAP2,CAMK2D,SYNE3,MYO3A,AC051619.5,ARL8B,CST2,AC008060.1
28858,MAP3K21,GRAMD1B,C5orf24,ACSL1,AC015923.1,C4orf3,CCDC124,MC5R,LINC00502,LRP5,NUFIP1,UGP2,GPBP1
28859,LINC02069,FLT3LG,KCNN3,ARL5A,AL121992.2,ATP5PD,AC007786.2,PSMB4,LINC02529,AC097537.1,NOC2L,PRKDC,PF4
28860,ECSCR,EMC6,PPP2R5E,NLK,AC096588.1,MEOX1,TALDO1,TXLNA,PNMA2,LINC01725,MAFIP,SEMA6A-AS1,BICD2
28861,GPD1L,SELPLG,ACVR1C,GTF2A2,POLR2E,DTX2,GADD45GIP1,PTPRU,HGS,AC105760.1,TFAP2C,MXRA8,GCLM
28862,RPF2,ARHGEF7,PRKACB,ASCC3,CCDC167,CLN3,AL356364.1,AL591846.2,RABL6,AC114730.3,C5orf38,SLC9B1,AKIRIN1
28863,WDR62,FAM136A,TMEM170A,AC084036.1,OVOL1-AS1,CNPY2,UBE2C,EVC,TMEM65,LY86-AS1,KIAA1143,TRMT10C,PRR16
28864,AC015522.1,MAPKAP1,CANX,CDKAL1,PKIG,AC097478.3,AC096667.1,TDRD10,PTPA,KRT7-AS,CLIC5,MBTPS2,AC120498.8
28865,LRP12,MOCOS,MAST3,CHAD,PHGDH,TMEM123,KCNA4,LINC01936,SPG21,AC127024.6,NPM3,GJC2,DACT1
28866,KCNQ5,RHBDF2,GFRA2,KIAA0355,AL353751.1,RBM11,CCT3,TMBIM4,EIF2S1,BCL3,INTS11,POU5F2,LINC02298
28867,PAN3,AL354861.2,CPNE1,PXMP2,ZNF560,GRIP2,AC092919.1,RRP36,RPS8,ATP9A,DDX27,STIMATE,TOX2
28868,GABRA5,CMPK2,FAM107B,SKI,AC138512.1,AC004825.2,LINC02286,CAPN15,AC022113.1,BSND,FBXO31,ZNF736,PHOX2A
28869,GAS2L3,CSDC2,GPR180,CNIH2,WDR41,LINC01819,AL139393.1,AC012508.1,DIRAS3,MUC20,TEF,NLGN4X,CX3CL1
28870,PRG2,CACNA2D1,LYZ,PROK2,AC079949.2,CHADL,MED13L,LRFN5,PIANP,EVI2A,JAGN1,AL022323.4,AL513314.1
28871,VPS53,PRSS35,SMG7,HDAC5,NEK11,C10orf90,SPA17,HEXB,AL020994.3,CATSPER2,SYNE1,CLIC5,TH
28872,AC011498.6,AC013652.1,DMXL2,LYPD6B,ARSH,CDCP1,AC097658.2,GOLGA8K,AL034376.1,A2ML1-AS1,NUMBL,PTPN12,DHX33
28873,AC020611.2,GIT2,CACNA1A,PPP3CB,AC009262.1,AL390957.1,NPEPL1,CAMK2G,LINC00599,AC099786.3,ZNF669,STXBP4,PRRG1
28874,HRH2,SHROOM4,ALDOC,ANXA3,RTL8C,SLC35F1,CYP4A11,RAB27A,AC009093.6,LINC01689,AHCYL1,RIOX2,EDF1
28875,TEKT5,CHKB,WDR82,SRSF2,AC104002.3,AC068234.2,COL23A1,STMN3,SAA2,BPHL,SLTM,SHLD3,NECAB3
28876,AC005165.1,DRAP1,MME-AS1,CHSY1,ZDHHC4,IQCH-AS1,NDUFAF8,AC078889.1,RAB24,TAPT1,ATP5MGL,C1orf54,AL050403.1
28877,P3H2-AS1,RHOB,B3GALNT2,SOGA1,ANKS1B,C11orf45,BATF3,AC022710.1,OXT,HOXA6,FMNL2,MLYCD,GCM2
28878,OTULIN,ATP6AP1L,RAB20,WNT10B,PLCE1-AS1,TSLP,PEX13,ARID4B,DCHS1,AL162377.1,AC026401.1,CAPN5,GPT
28879,ATG4B,PLXNB1,USP12,OGA,LINC02243,MFSD1,AP001468.1,HOOK2,UBE2C,PROX1,AC007405.3,RHOA,ARL13B
28880,AC026310.2,AC004988.1,UBE2Z,TBL2,AP001208.1,C10orf55,IARS,CINP,AL512422.1,AL031710.1,TTLL7,MT1G,BEND4
28881,AL031280.1,NSMCE4A,FNDC4,HCFC2,ALAS2,ANXA3,THSD4,DNPH1,PABPN1,EMB,SDHC,AC009271.1,RAB24
28882,GRAP2,SERP2,INF2,PDE1C,LINC00303,MRPS15,ZPLD1,NDN,CPT1C,AC022098.3,COPS6,CAPN3,C4B
28883,CCR10,HAGH,HOXC10,COMMD8,AC008115.2,KBTBD3,FNDC5,LINC01351,IFNAR2,AL359962.2,RMND5A,CPOX,S100A12
28884,PHF14,SRA1,VAPA,TADA3,PGC,TMEM53,AL356515.1,UBE2K,FMC1,LINC00578,HTD2,AC009041.2,AC119677.1
28885,NUP107,CCDC136,TNFRSF1A,TDG,FAM87A,CIDEC,SRXN1,SUCLG2,JMJD4,Z97198.1,THYN1,SPAG5,LINC01927
28886,AC091138.1,FAM181B,TMED1,MCEE,AC024337.1,AC005082.1,ETV6,TNFRSF19,SCYL1,AC092903.2,BDNF,ZNF660,AC002456.1
28887,UBE2O,ZYX,ACSL1,CEP85L,PHB,NCSTN,B4GALT3,CNST,ZNF511,ABCD2,SLC16A7,AADAT,AC021066.1
28888,PHEX,COQ4,RCL1,NDUFS1,AC093673.1,AC025822.1,CTNNA1,AL133330.2,TMEFF1,ADCY5,STK40,SPIN4,EMB
28889,FAM189A1,SUMF2,MED17,DYNC1H1,CASC16,GRM3,AC013476.1,GLRX3,ISG20,DBNDD1,HS6ST2,HECW1,RGS21
28890,LETM1,NANOS3,OPA3,PELI2,GALNT2,RYR3,STAC,MKNK1,SERPINB2,ITPKB,CORIN,CARD8-AS1,AC068506.1
28891,CD36,RPN1,ERGIC2,ATP5F1C,MCOLN3,MIR4458HG,ZPR1,PSMA7,AC008456.1,VIP,SLC25A28,HCG11,LINC02519
28892,ADCYAP1R1,DAZAP2,LRRTM3,RNPEPL1,CUX1,SDHA,RPS27L,ZNF208,DBN1,AL732314.4,ADCY3,RND1,RGS10
28893,AFP,SIRT6,CLTCL1,AUP1,B3GNT8,AC091493.1,AC092378.1,MAD2L2,CBFB,STK40,ZNF605,SAMD4B,SLFN12L
28894,TNFAIP8L3,TMPRSS2,MSRB3,SRPK3,GABRG2,AC110597.3,GUSB,SFXN1,UHRF1BP1L,FERMT2,ZDHHC12,FAM66D,AC122108.2
28895,AL355314.2,LAMP1,ACLY,TP53BP1,RGCC,C10orf105,CYP4X1,CHMP3,PSMA1,LINC02121,CGAS,RTF2,ATP6V1G3
28896,SERTAD1,NAGLU,DES,MROH1,C2-AS1,AC012613.1,MEST,SLC35E1,AFF4,ITLN1,ACBD4,PREPL,AC007491.1
28897,AC008574.1,TK2,SS18,AC103982.1,AC079035.1,UHRF1BP1L,TUFM,PCNA,AC133644.2,AL450468.2,AC087239.1,GIGYF1,AC009093.6
28898,RASSF1,SRGAP2B,PPM1K,LNPEP,TBC1D3B,ERLEC1,AC016595.1,KBTBD11,TIMM50,OR56A4,LINC00921,CTPS2,AC007952.6
28899,GPR171,COPS6,DDX10,PITPNM2,RPGRIP1L,IL10,AL096869.2,CHSY3,NFKBIE,MGAT4A,CD163L1,ZNF780B,MTURN
28900,CNTN4-AS1,VPS72,ARF1,AKIRIN2,CTSO,AL669970.3,ADK,KRT2,RCC1,AC107023.1,SMAGP,C9orf85,ZP2
28901,PXYLP1,GSTZ1,HAS2,CTPS1,AC016266.1,LINC00482,ZFP36,DDX49,ATP1A2,AC087273.1,PTCH2,TCIRG1,ZFAND2A
28902,ANO4,LINC00536,AC097716.1,MFSD11,LINC01666,AP005120.1,TEX29,HTT,AL132639.3,AC084768.1,OPHN1,HAPLN1,AC024603.1
28903,ZBTB46,RAPGEF3,SUPT16H,AFTPH,AC007598.2,CLEC12B,MRPS33,HRK,LIMA1,LINC02400,STK32A-AS1,DIRAS3,REV3L
28904,FBXO22,AC105446.1,PHF21A,C3AR1,KCNE1B,FAM131B,ACOT9,LINC02017,LHFPL1,AC037441.1,EPB41L4B,AL031963.3,C16orf74
28905,LBHD2,ATF6B,CTNNA1,PARP16,CCDC39-AS1,KCNQ1,AC004946.1,SMIM3,NRM,AC136475.5,NAA16,RAB3D,AC008687.4
28906,SENP5,RHBDD1,SVIP,CPNE4,DEAF1,KRTAP13-4,EIF3G,ST6GALNAC4,AC079298.1,AC103808.4,ZNF524,WTIP,LINC01215
28907,CTBP1-AS,COG5,NBAS,TMEM64,GPR20,DERL2,NDUFB8,TMEM92-AS1,ANXA6,KIF26A,PTPRN2,RAB11B-AS1,AC090948.2
28908,GP1BA,PEX11B,ZBTB11,OR4F15,LINC00870,AL645465.1,CSF1,C12orf49,SLC2A10,SFR1,LAMTOR5,REPS2,CBLN1
28909,AC092567.1,ZCCHC7,NECAP1,MAP3K19,SEC22B,AC091588.2,ELMO1-AS1,MZT2A,AC104350.1,GPRASP1,NUDT21,TBX1,MIR4435-2HG
28910,CCM2,SCAMP3,TSPAN18,ASH1L,TMPRSS7,NFATC4,OR2A1-AS1,AC008063.2,MPLKIP,LINC01114,AC245407.2,COL13A1,AL606469.1
28911,AIM2,NUAK2,LYPLA1,AP003721.2,S100A4,AC005280.2,ATAD3A,AL445465.1,REEP2,AC135178.2,SMIM29,ZBTB40,LINC02192
28912,NFATC3,CELSR1,IMMT,AICDA,CASC6,C4orf47,AC068858.1,OR2AG2,FYB1,AC245187.1,KANSL1-AS1,AC087239.1,FP325330.1
28913,ELAVL2,SPATA20,SECISBP2L,KIDINS220,GAPDH,SWAP70,LINC00211,RFPL1,DPAGT1,KRTAP11-1,AC092747.4,PIM3,TLNRD1
28914,MAD2L2,C6orf226,AC008522.1,PPP1R12C,AC012508.2,SRD5A1,CFL1,TMEM223,CRYBA2,LINC00211,IL7,RPL10A,AP000238.1
28915,C9orf24,COMMD10,MXI1,AC106798.1,AC099066.2,ARMC4,NFE2L1,DYNC1H1,PEPD,AC084819.1,RELA,MAB21L2,SNAP25
28916,ABHD15-AS1,COL26A1,FEZ2,HIBCH,ICAM1,CD38,PYCARD,METTL9,IFFO2,AL355102.5,DCN,RPRM,ERLNC1
28917,SSH2,BAMBI,MMP7,SLC20A2,LINC01684,DMAC1,NUDT2,MRPS12,AC012360.2,MAFTRR,RBM38,TNRC18,AJ239322.2
28918,PIK3C2B,POLM,MCFD2,LANCL3,BEAN1-AS1,FGF14-AS1,ADGRA3,AKR1E2,FAM230C,SFTPA2,C4orf46,AC104041.1,AL049748.1
28919,TRA2B,C4orf19,USP38,LRRC8E,CALM3,LHX2,CCL28,MSRB3,IGKV1OR2-118,SPRR4,STOML2,AC092127.2,CEACAM5
28920,EBNA1BP2,ADAMTS7,UBE2W,DNTTIP1,HCG22,AC124276.2,AC017002.3,ARNT,NOL7,LINC01558,PNMA1,RCAN2,AL391863.2
28921,LINC02397,AURKB,S100A16,PPP2R2D,DDR1-DT,GADD45GIP1,EIF3M,GNG12,DEAF1,OR10K2,MTRF1L,PGGHG,COX4I1
28922,TMPRSS12,LINC01137,ALDH7A1,DBP,SDF4,HHLA3,AC002454.1,EHD3,CD200R1L,MIR3150BHG,TTC32,AFF1,AL136234.1
28923,SHQ1,FBXL17,CAND1,KDM6A,AC012409.2,ZSWIM5,AC108865.2,CFL1,ZNF451,AC010975.1,RPL7L1,ARHGAP10,BPIFB1
28924,AC012363.2,AC066613.2,PPP1R2,PER3,B4GALT5,AQP7,PPP1CA,ZNF395,EIF4B,ELMSAN1,DDX18,DIS3L,AC092849.2
28925,ARPC5L,CCDC102A,FOXL1,LINGO2,EDA2R,ZFHX4-AS1,LINC01115,PREB,NABP2,LINC02517,ATF5,ACSL4,OR5H14
28926,MRVI1-AS1,DHDDS,P3H1,LRRC2,EYA2,XPR1,LINC00901,MARCH1,PKIG,REPIN1,NR0B1,HOXC11,TGIF2
28927,ZNF547,AC019117.1,AL136115.2,RARS,AC011507.1,LINC00502,LINC00315,AC022784.3,AC016999.1,SH2D3A,PSMC5,CAMK1,FAM138B
28928,ELOF1,SLC1A1,USF3,CSPP1,PSME1,BMPR1B-DT,IFI27L1,PTPN18,UHRF1,CALHM2,PCIF1,CROCC2,SPIC
28929,KCNG3,BACE1,SPAG4,WTIP,AC022809.1,AP000842.2,SMIM10,HAGHL,ILF2,FGF14-AS2,USP32,HMGB2,SLC25A36
28930,CCER2,APBB1,LRAT,CLASP1,U95743.1,SLC16A10,ZIC2,IL1RL1,AC022167.1,MEGF6,SFT2D2,ZXDA,AL353052.1
28931,NSG1,GADD45B,ST8SIA4,ARHGAP5,LINC01028,ZSWIM4,AC027288.3,EXT2,SSBP1,FIG4,KRT17,JHY,TMPRSS13
28932,STAB1,ECT2,FAM171A1,LINC02542,PLA2G4C-AS1,LINC02056,AL596330.1,IDH3G,IFT22,SNHG4,DPF2,NUBPL,GSTA1
28933,FNDC3A,MAF,RNMT,TSSC4,NDUFC2,AL391117.1,ARPC4,NBPF10,ZBED2,AC012613.2,GRM7,ZBTB20-AS2,SPRY2
28934,ASH1L,NUMA1,RC3H2,EI24,OSBP2,STOML2,CEACAM20,NECAP2,NEU1,AC004637.1,KLHL23,AC016910.1,CPA1
28935,PAM16,DOCK9,AHDC1,CIDEC,LINC00603,NAMPT,TRAF3,HDAC3,RRS1,AASS,KANSL1,NME5,AC022726.2
28936,GCC2-AS1,CAVIN4,LINC02456,MEGF9,DAB2,CYTL1,ADAM7,N4BP2,LINC00305,LINC01044,COX11,SGMS2,AC090527.1
28937,AC090921.1,TMEM234,CCNE1,ACAT1,TIMD4,TRAV8-5,AC112196.1,IKBKE,AL049629.1,AC091563.1,AC118658.1,OXER1,AL356157.1
28938,AL355076.2,SUSD4,UBE3A,DUSP3,AC005220.1,HPD,C3orf14,AL161896.1,PHETA2,SULT1A2,TDRD10,USP25,NCR3
28939,WDR49,AL023284.4,TRIM36,AL807761.4,MRPL57,LINC01503,CMTM3,IGLC1,AL590666.1,STH,AIF1L,CUBN,TRIM31-AS1
